cell,family,symbol,known,plus_in,n_in,rate_in,p_binom,cum_in_pct,mean_m_in_pct,plus_oos,n_oos,cum_oos_pct,worst_m_in_pct,maxdd_in_pct,sig_005,sig_bonf
Mon GER40,Mon,GER40,True,27,48,56,0.2354395068108559,18.6,0.38,6,12,5.9,-4.51,-10.61,False,False
ThuS CADCHF,ThuS,CADCHF,False,27,48,56,0.2354395068108559,12.7,0.26,9,12,3.76,-1.6,-4.59,False,False
WedS GBPCHF,WedS,GBPCHF,False,27,48,56,0.2354395068108559,12.6,0.25,4,12,-1.3,-1.72,-2.54,False,False
ThuS EURJPY,ThuS,EURJPY,False,27,48,56,0.2354395068108559,11.4,0.23,6,12,3.12,-3.02,-6.45,False,False
ThuS GBPJPY,ThuS,GBPJPY,False,27,48,56,0.2354395068108559,11.2,0.23,7,12,5.5,-2.67,-6.05,False,False
Wed US500,Wed,US500,False,27,48,56,0.2354395068108559,9.7,0.21,6,12,-1.7,-4.54,-13.44,False,False
Fri USDJPY,Fri,USDJPY,False,27,48,56,0.2354395068108559,8.8,0.19,7,12,3.22,-4.2,-7.56,False,False
ThuS AUDJPY,ThuS,AUDJPY,False,27,48,56,0.2354395068108559,8.8,0.19,9,12,6.5,-3.16,-8.22,False,False
Tue USDJPY,Tue,USDJPY,False,27,48,56,0.2354395068108559,8.0,0.17,6,12,0.8,-4.45,-9.23,False,False
Fri EURAUD,Fri,EURAUD,False,27,48,56,0.2354395068108559,8.2,0.17,5,12,-2.03,-3.53,-5.68,False,False
WedS EURCHF,WedS,EURCHF,False,27,48,56,0.2354395068108559,7.3,0.15,7,12,0.95,-1.09,-2.43,False,False
Hold GBPAUD,Hold,GBPAUD,False,27,48,56,0.2354395068108559,6.6,0.15,3,12,-8.12,-5.95,-14.05,False,False
Hold GBPCAD,Hold,GBPCAD,False,27,48,56,0.2354395068108559,6.6,0.15,6,12,-0.65,-4.35,-15.79,False,False
Wed EURUSD,Wed,EURUSD,False,27,48,56,0.2354395068108559,6.1,0.13,5,12,-2.69,-2.31,-6.0,False,False
Wed CHFJPY,Wed,CHFJPY,False,27,48,56,0.2354395068108559,6.1,0.13,6,12,-0.52,-2.04,-5.53,False,False
ThuS EURAUD,ThuS,EURAUD,False,27,48,56,0.2354395068108559,6.2,0.13,6,12,-2.31,-2.86,-5.67,False,False
ThuS GBPAUD,ThuS,GBPAUD,False,27,48,56,0.2354395068108559,6.1,0.13,8,12,-0.21,-2.49,-5.55,False,False
ThuS GBPUSD,ThuS,GBPUSD,False,27,48,56,0.2354395068108559,4.1,0.09,7,12,2.67,-3.15,-7.21,False,False
MonS EURAUD,MonS,EURAUD,False,27,48,56,0.2354395068108559,4.3,0.09,9,12,5.4,-2.51,-6.26,False,False
FriS EURCAD,FriS,EURCAD,False,27,48,56,0.2354395068108559,4.0,0.09,8,12,4.05,-1.78,-7.19,False,False
Mon GBPCHF,Mon,GBPCHF,False,27,48,56,0.2354395068108559,4.5,0.09,10,12,5.81,-1.68,-3.79,False,False
MonS NZDCAD,MonS,NZDCAD,False,27,48,56,0.2354395068108559,4.0,0.08,6,12,-4.14,-2.42,-3.92,False,False
MonS CADCHF,MonS,CADCHF,False,27,48,56,0.2354395068108559,3.5,0.08,7,12,1.92,-2.36,-4.07,False,False
Fri GBPAUD,Fri,GBPAUD,False,27,48,56,0.2354395068108559,3.2,0.07,6,12,-0.56,-2.99,-6.52,False,False
ThuS AUDUSD,ThuS,AUDUSD,False,27,48,56,0.2354395068108559,2.4,0.06,8,12,3.89,-3.66,-8.37,False,False
Tue USDCAD,Tue,USDCAD,False,27,48,56,0.2354395068108559,2.6,0.06,4,12,-3.05,-1.34,-4.6,False,False
ThuS NZDCAD,ThuS,NZDCAD,False,27,48,56,0.2354395068108559,2.5,0.06,7,12,1.18,-2.93,-5.96,False,False
ThuS AUDCAD,ThuS,AUDCAD,False,27,48,56,0.2354395068108559,0.6,0.02,8,12,2.82,-2.29,-6.29,False,False
Mon EURCHF,Mon,EURCHF,False,27,48,56,0.2354395068108559,-0.0,0.0,7,12,1.39,-2.24,-2.82,False,False
MonS EURUSD,MonS,EURUSD,False,27,48,56,0.2354395068108559,-1.1,-0.02,7,12,-1.59,-2.27,-6.29,False,False
MonS XAUUSD,MonS,XAUUSD,False,27,48,56,0.2354395068108559,-2.1,-0.03,6,11,2.43,-5.88,-16.26,False,False
WedS HK50,WedS,HK50,False,27,48,56,0.2354395068108559,-8.3,-0.13,5,12,-3.05,-13.86,-17.23,False,False
Tue XAGUSD,Tue,XAGUSD,False,26,48,54,0.3327329060383093,38.3,0.74,7,12,67.24,-6.59,-20.67,False,False
Hold EUSTX50,Hold,EUSTX50,False,26,48,54,0.3327329060383093,33.4,0.7,10,12,13.7,-8.87,-25.87,False,False
Hold FR40,Hold,FR40,False,26,48,54,0.3327329060383093,18.2,0.44,7,12,2.97,-8.49,-23.35,False,False
ThuS NAS100,ThuS,NAS100,False,26,48,54,0.3327329060383093,19.8,0.43,6,12,8.17,-6.46,-17.34,False,False
Wed XAGUSD,Wed,XAGUSD,False,26,48,54,0.3327329060383093,20.1,0.43,7,12,-14.63,-6.41,-10.96,False,False
Thu XAGUSD,Thu,XAGUSD,False,26,48,54,0.3327329060383093,18.0,0.43,7,12,-14.35,-7.87,-23.99,False,False
Wed EUSTX50,Wed,EUSTX50,False,26,48,54,0.3327329060383093,17.5,0.36,5,12,9.49,-3.25,-9.31,False,False
Mon US30,Mon,US30,False,26,48,54,0.3327329060383093,16.4,0.33,6,11,4.21,-2.56,-6.62,False,False
FriS BTCUSD,FriS,BTCUSD,False,26,48,54,0.3327329060383093,5.1,0.29,9,12,5.28,-16.54,-38.72,False,False
ThuS CADJPY,ThuS,CADJPY,False,26,48,54,0.3327329060383093,13.3,0.27,9,12,4.69,-2.23,-4.73,False,False
TueS AUDUSD,TueS,AUDUSD,False,26,48,54,0.3327329060383093,12.7,0.26,5,12,-3.81,-2.43,-6.1,False,False
FriS XAGUSD,FriS,XAGUSD,False,26,48,54,0.3327329060383093,7.9,0.26,6,12,-8.49,-13.0,-19.15,False,False
MonS AUDUSD,MonS,AUDUSD,False,26,48,54,0.3327329060383093,11.6,0.25,4,12,-5.72,-2.44,-6.84,False,False
FriS CADCHF,FriS,CADCHF,False,26,48,54,0.3327329060383093,12.3,0.25,3,12,-0.44,-1.72,-5.16,False,False
FriS AUS200,FriS,AUS200,False,26,48,54,0.3327329060383093,10.6,0.22,8,12,5.71,-3.55,-7.31,False,False
ThuS USDJPY,ThuS,USDJPY,False,26,48,54,0.3327329060383093,10.3,0.21,7,12,3.4,-3.04,-5.8,False,False
MonS EUSTX50,MonS,EUSTX50,False,26,48,54,0.3327329060383093,9.1,0.19,4,12,-3.73,-4.37,-8.49,False,False
WedS NZDJPY,WedS,NZDJPY,False,26,48,54,0.3327329060383093,7.5,0.16,7,12,-0.43,-2.66,-8.97,False,False
TueS EURCHF,TueS,EURCHF,False,26,48,54,0.3327329060383093,7.6,0.16,5,12,-0.22,-1.35,-3.16,False,False
FriS GBPCAD,FriS,GBPCAD,False,26,48,54,0.3327329060383093,6.6,0.14,6,12,2.56,-1.51,-6.53,False,False
WedS CADJPY,WedS,CADJPY,False,26,48,54,0.3327329060383093,6.2,0.13,5,12,-1.14,-3.48,-6.74,False,False
Wed UK100,Wed,UK100,False,26,48,54,0.3327329060383093,6.0,0.13,8,12,12.6,-3.38,-10.7,False,False
Tue US2000,Tue,US2000,False,26,48,54,0.3327329060383093,4.2,0.12,8,12,15.56,-4.5,-12.56,False,False
Tue EURJPY,Tue,EURJPY,False,26,48,54,0.3327329060383093,4.4,0.1,9,12,2.99,-3.85,-7.98,False,False
Tue GBPAUD,Tue,GBPAUD,False,26,48,54,0.3327329060383093,4.5,0.1,2,12,-6.72,-2.74,-7.55,False,False
WedS NZDCAD,WedS,NZDCAD,False,26,48,54,0.3327329060383093,4.8,0.1,8,12,1.44,-2.98,-8.62,False,False
Tue EUSTX50,Tue,EUSTX50,False,26,48,54,0.3327329060383093,3.7,0.1,6,12,2.13,-4.89,-15.44,False,False
TueS NZDCAD,TueS,NZDCAD,False,26,48,54,0.3327329060383093,4.2,0.09,9,12,3.64,-2.5,-5.3,False,False
Mon GBPCAD,Mon,GBPCAD,False,26,48,54,0.3327329060383093,3.6,0.08,10,12,6.68,-1.53,-3.83,False,False
Fri EURJPY,Fri,EURJPY,False,26,48,54,0.3327329060383093,3.0,0.07,5,12,-1.27,-2.96,-6.69,False,False
Tue NAS100,Tue,NAS100,False,26,48,54,0.3327329060383093,1.7,0.07,8,12,17.62,-5.62,-23.65,False,False
Wed EURJPY,Wed,EURJPY,False,26,48,54,0.3327329060383093,2.7,0.06,4,12,-0.46,-3.68,-4.45,False,False
ThuS US30,ThuS,US30,False,26,48,54,0.3327329060383093,1.4,0.05,5,12,4.61,-3.73,-10.62,False,False
WedS AUDJPY,WedS,AUDJPY,False,26,48,54,0.3327329060383093,1.6,0.04,6,12,-2.31,-3.19,-11.0,False,False
TueS JP225,TueS,JP225,False,26,48,54,0.3327329060383093,0.6,0.04,7,12,6.78,-8.89,-16.85,False,False
ThuS GBPCAD,ThuS,GBPCAD,False,26,48,54,0.3327329060383093,2.0,0.04,9,12,1.71,-3.3,-7.78,False,False
Mon JP225,Mon,JP225,True,26,48,54,0.3327329060383093,-0.2,0.02,9,12,11.94,-9.36,-15.21,False,False
Mon AUDCHF,Mon,AUDCHF,False,26,48,54,0.3327329060383093,0.2,0.01,9,12,5.58,-2.46,-5.69,False,False
TueS UK100,TueS,UK100,False,26,48,54,0.3327329060383093,-0.7,-0.0,4,12,-0.85,-5.6,-8.71,False,False
Wed GBPJPY,Wed,GBPJPY,False,26,48,54,0.3327329060383093,-2.7,-0.05,5,12,1.63,-3.29,-7.55,False,False
Tue EURCAD,Tue,EURCAD,False,26,48,54,0.3327329060383093,-2.3,-0.05,4,12,-0.85,-2.07,-3.96,False,False
Mon USDCAD,Mon,USDCAD,False,26,48,54,0.3327329060383093,-5.7,-0.12,7,12,-0.44,-2.18,-7.61,False,False
Fri US500,Fri,US500,False,26,48,54,0.3327329060383093,-6.4,-0.12,8,12,4.06,-6.4,-17.85,False,False
Thu EUSTX50,Thu,EUSTX50,False,26,48,54,0.3327329060383093,-8.0,-0.14,5,12,-2.34,-7.27,-24.69,False,False
Hold AUDUSD,Hold,AUDUSD,False,26,48,54,0.3327329060383093,-10.5,-0.19,7,12,8.07,-5.3,-22.9,False,False
Hold XAGUSD,Hold,XAGUSD,False,25,48,52,0.4427167486432566,105.1,1.78,7,12,38.73,-11.92,-34.92,False,False
TueS ETHUSD,TueS,ETHUSD,False,25,48,52,0.4427167486432566,38.0,0.95,7,12,32.07,-13.1,-34.68,False,False
Mon BTCUSD,Mon,BTCUSD,False,25,48,52,0.4427167486432566,43.1,0.94,6,12,11.0,-13.22,-33.35,False,False
Hold NATGAS,Hold,NATGAS,False,25,48,52,0.4427167486432566,-45.0,0.73,6,12,-14.82,-40.06,-83.89,False,False
MonS XAGUSD,MonS,XAGUSD,False,25,48,52,0.4427167486432566,23.9,0.51,4,11,-14.05,-6.67,-13.15,False,False
Hold HK50,Hold,HK50,False,25,48,52,0.4427167486432566,6.7,0.4,3,12,-8.18,-14.77,-44.14,False,False
Mon NATGAS,Mon,NATGAS,False,25,48,52,0.4427167486432566,1.7,0.37,4,11,-42.13,-21.99,-37.66,False,False
Wed NATGAS,Wed,NATGAS,False,25,48,52,0.4427167486432566,1.4,0.37,8,12,-15.21,-16.46,-64.49,False,False
WedS JP225,WedS,JP225,False,25,48,52,0.4427167486432566,12.2,0.26,4,12,-15.25,-4.11,-8.32,False,False
Wed XAUUSD,Wed,XAUUSD,False,25,48,52,0.4427167486432566,12.0,0.25,9,12,7.99,-3.98,-7.87,False,False
MonS AUS200,MonS,AUS200,False,25,48,52,0.4427167486432566,11.1,0.23,8,12,8.36,-1.87,-4.6,False,False
Hold NZDJPY,Hold,NZDJPY,False,25,48,52,0.4427167486432566,9.0,0.22,9,12,3.78,-7.89,-18.96,False,False
FriS GER40,FriS,GER40,False,25,48,52,0.4427167486432566,9.2,0.22,6,12,7.92,-5.59,-17.34,False,False
ThuS US500,ThuS,US500,False,25,48,52,0.4427167486432566,9.4,0.21,5,12,6.69,-4.79,-12.16,False,False
ThuS USDCHF,ThuS,USDCHF,False,25,48,52,0.4427167486432566,9.3,0.2,9,12,2.59,-1.84,-4.77,False,False
FriS NZDJPY,FriS,NZDJPY,False,25,48,52,0.4427167486432566,9.1,0.19,7,12,1.18,-3.43,-10.06,False,False
WedS US2000,WedS,US2000,False,25,48,52,0.4427167486432566,7.3,0.18,8,12,2.28,-5.98,-15.09,False,False
WedS USDJPY,WedS,USDJPY,False,25,48,52,0.4427167486432566,6.4,0.14,6,12,-1.41,-3.89,-8.72,False,False
Mon GBPUSD,Mon,GBPUSD,True,25,48,52,0.4427167486432566,6.5,0.13,10,12,5.97,-1.62,-5.2,False,False
TueS AUDCAD,TueS,AUDCAD,False,25,48,52,0.4427167486432566,6.3,0.13,6,12,-1.92,-2.08,-5.26,False,False
ThuS CHFJPY,ThuS,CHFJPY,False,25,48,52,0.4427167486432566,5.1,0.11,5,12,1.96,-2.39,-7.03,False,False
MonS NZDUSD,MonS,NZDUSD,False,25,48,52,0.4427167486432566,4.2,0.09,7,12,-3.4,-3.06,-6.16,False,False
Fri JP225,Fri,JP225,False,25,48,52,0.4427167486432566,3.1,0.08,8,12,8.93,-3.52,-12.89,False,False
FriS USDCHF,FriS,USDCHF,False,25,48,52,0.4427167486432566,2.5,0.06,4,12,-1.7,-2.1,-6.08,False,False
TueS GBPCHF,TueS,GBPCHF,False,25,48,52,0.4427167486432566,2.2,0.05,7,12,3.21,-1.56,-5.21,False,False
Wed EURAUD,Wed,EURAUD,False,25,48,52,0.4427167486432566,1.2,0.03,3,12,-3.58,-2.49,-6.69,False,False
Mon GBPAUD,Mon,GBPAUD,False,25,48,52,0.4427167486432566,0.7,0.02,7,12,-1.0,-1.77,-4.58,False,False
Wed AUDNZD,Wed,AUDNZD,False,25,48,52,0.4427167486432566,0.8,0.02,5,12,0.79,-1.57,-5.45,False,False
Tue FR40,Tue,FR40,False,25,48,52,0.4427167486432566,-0.6,0.01,8,12,8.04,-7.28,-20.41,False,False
Mon AUDCAD,Mon,AUDCAD,False,25,48,52,0.4427167486432566,0.1,0.01,9,12,6.6,-1.46,-4.74,False,False
FriS GBPJPY,FriS,GBPJPY,False,25,48,52,0.4427167486432566,-0.5,0.0,7,12,-0.43,-2.88,-15.22,False,False
Tue EURAUD,Tue,EURAUD,False,25,48,52,0.4427167486432566,-0.5,-0.0,5,12,-3.45,-2.74,-8.16,False,False
Mon EURCAD,Mon,EURCAD,False,25,48,52,0.4427167486432566,-0.1,0.0,7,12,2.22,-1.73,-3.49,False,False
