cell,family,symbol,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,cum_in_pct,worst_m_in_pct,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005
TOMS AUDCHF,TOMS,AUDCHF,29,48,60,0.09670632643096866,0.18,8.7,-2.39,2,11,-4.33,False,False
Tue GBPJPY,Tue,GBPJPY,29,48,60,0.09670632643096866,0.17,8.1,-4.4,5,12,-0.4,False,False
TOMS EURJPY,TOMS,EURJPY,29,48,60,0.09670632643096866,0.16,7.3,-2.94,8,11,6.85,False,False
TOMS GBPCHF,TOMS,GBPCHF,29,48,60,0.09670632643096866,0.16,7.4,-5.17,5,11,-0.67,False,False
Tuex2 GBPJPY,Tuex2,GBPJPY,29,48,60,0.09670632643096866,0.13,5.9,-4.52,6,12,2.06,False,False
ThuSx2 AUDUSD,ThuSx2,AUDUSD,29,48,60,0.09670632643096866,0.12,3.9,-12.48,8,12,6.71,False,False
MonS USDCHF,MonS,USDCHF,29,48,60,0.09670632643096866,0.12,5.9,-1.4,6,12,1.33,False,False
Tuex2 EURCAD,Tuex2,EURCAD,29,48,60,0.09670632643096866,0.12,5.8,-3.21,3,12,-2.68,False,False
TOMS EURCHF,TOMS,EURCHF,29,48,60,0.09670632643096866,0.11,5.0,-2.48,4,11,0.77,False,False
Tue GER40,Tue,GER40,29,48,60,0.09670632643096866,0.1,3.4,-7.37,8,12,11.42,False,False
ThuS EURGBP,ThuS,EURGBP,29,48,60,0.09670632643096866,0.1,4.6,-2.17,5,12,-1.29,False,False
TueS AUDNZD,TueS,AUDNZD,29,48,60,0.09670632643096866,0.1,4.7,-1.64,4,12,-4.28,False,False
Wedx2 AUDCAD,Wedx2,AUDCAD,29,48,60,0.09670632643096866,0.08,3.6,-2.52,6,12,-1.02,False,False
Fri USDCAD,Fri,USDCAD,29,48,60,0.09670632643096866,0.07,3.2,-1.7,6,12,-0.13,False,False
Tuex3 EURJPY,Tuex3,EURJPY,29,48,60,0.09670632643096866,0.03,0.5,-6.85,6,12,0.83,False,False
Tuex3 USDJPY,Tuex3,USDJPY,29,48,60,0.09670632643096866,-0.06,-4.6,-8.22,8,12,0.64,False,False
ThuS NATGAS,ThuS,NATGAS,28,48,58,0.15616340373663462,2.51,180.7,-14.44,8,12,20.35,False,False
Monx3 NATGAS,Monx3,NATGAS,28,48,58,0.15616340373663462,1.58,40.7,-22.81,4,11,-55.01,False,False
Monx3 GER40,Monx3,GER40,28,48,58,0.15616340373663462,1.24,71.4,-6.49,7,12,8.76,False,False
ThuS ETHUSD,ThuS,ETHUSD,28,48,58,0.15616340373663462,0.97,32.0,-23.34,10,12,101.8,False,False
Tuex3 EUSTX50,Tuex3,EUSTX50,28,48,58,0.15616340373663462,0.79,41.1,-8.54,6,12,11.73,False,False
Frix2 USDJPY,Frix2,USDJPY,28,48,58,0.15616340373663462,0.58,30.5,-4.8,8,12,3.23,False,False
Frix3 NAS100,Frix3,NAS100,28,48,58,0.15616340373663462,0.49,21.0,-11.0,9,12,29.36,False,False
Frix2 CADJPY,Frix2,CADJPY,28,48,58,0.15616340373663462,0.48,24.9,-2.89,7,12,2.39,False,False
Monx2 NZDJPY,Monx2,NZDJPY,28,48,58,0.15616340373663462,0.47,24.7,-3.18,7,12,4.76,False,False
FriSx3 AUDUSD,FriSx3,AUDUSD,28,48,58,0.15616340373663462,0.44,21.8,-4.87,3,12,-8.13,False,False
TueSx3 AUDCHF,TueSx3,AUDCHF,28,48,58,0.15616340373663462,0.43,21.5,-3.93,6,12,-2.33,False,False
Monx3 USDJPY,Monx3,USDJPY,28,48,58,0.15616340373663462,0.42,21.3,-5.69,7,12,2.83,False,False
ThuSx3 NZDUSD,ThuSx3,NZDUSD,28,48,58,0.15616340373663462,0.42,21.1,-3.29,7,12,-0.05,False,False
FriSx2 NZDUSD,FriSx2,NZDUSD,28,48,58,0.15616340373663462,0.41,20.4,-3.75,7,12,-0.07,False,False
