legs,w,maxcorr,roll,cagr,cum,dd,wm,wd,pos,sh,yrs,calmar
Mon GBPJPY + Mon USDJPY + Roll GBPJPY,0.18 / 0.18 / 0.64,0.57,True,3.1,16.3,-0.6,-0.3,-0.37,47/59,2.4,2022:+3.7 2023:+4.3 2024:+3.0 2025:+2.2 2026:+1.3,5.17
Mon GBPJPY + Mon USDJPY + Roll USDJPY,0.21 / 0.21 / 0.58,0.57,True,3.3,17.3,-0.7,-0.5,-0.44,44/59,2.16,2022:+3.6 2023:+4.8 2024:+3.0 2025:+2.8 2026:+1.2,4.71
Mon GBPJPY + Mon USDJPY + TSMOM XAUUSD,0.45 / 0.46 / 0.09,0.57,False,5.3,28.8,-2.3,-1.3,-1.12,40/58,1.62,2022:+7.5 2023:+4.0 2024:+5.2 2025:+4.7 2026:+2.9,2.3
Mon GBPJPY + Mon USDJPY + v4 AUDUSD,0.35 / 0.35 / 0.30,0.57,False,4.1,21.9,-1.8,-0.8,-0.73,39/58,1.63,2022:+6.3 2023:+6.6 2024:+1.6 2025:+1.7 2026:+2.0,2.28
Mon GBPJPY + Roll AUDJPY + Roll CADJPY,0.14 / 0.37 / 0.49,0.77,True,2.2,11.5,-0.6,-0.4,-0.44,46/59,2.03,2022:+1.4 2023:+3.8 2024:+2.0 2025:+2.6 2026:+1.0,3.67
Mon GBPJPY + Roll AUDJPY + Roll EURJPY,0.13 / 0.34 / 0.53,0.83,True,2.2,11.3,-0.6,-0.4,-0.31,44/59,2.12,2022:+1.4 2023:+3.5 2024:+2.1 2025:+2.6 2026:+0.9,3.67
Mon GBPJPY + Roll AUDJPY + Roll GBPJPY,0.14 / 0.35 / 0.51,0.81,True,2.6,13.4,-0.5,-0.4,-0.35,48/59,2.4,2022:+1.8 2023:+4.0 2024:+2.4 2025:+2.9 2026:+1.3,5.2
Mon GBPJPY + Roll AUDJPY + Roll USDJPY,0.16 / 0.40 / 0.44,0.73,True,2.7,13.7,-0.6,-0.4,-0.48,46/59,2.21,2022:+1.4 2023:+4.3 2024:+2.3 2025:+3.5 2026:+1.2,4.5
Mon GBPJPY + Roll AUDJPY + TSMOM XAUUSD,0.27 / 0.68 / 0.05,0.02,True,3.4,17.8,-1.2,-0.5,-0.62,45/59,2.03,2022:+2.3 2023:+3.5 2024:+3.1 2025:+5.2 2026:+2.2,2.83
Mon GBPJPY + Roll AUDJPY + v4 AUDUSD,0.23 / 0.58 / 0.20,0.01,True,2.9,15.2,-1.0,-0.4,-0.36,43/59,2.08,2022:+2.2 2023:+5.3 2024:+1.1 2025:+3.2 2026:+1.7,2.9
Mon GBPJPY + Roll CADJPY + Roll EURJPY,0.12 / 0.41 / 0.47,0.81,True,2.1,10.7,-0.5,-0.3,-0.25,45/59,2.27,2022:+1.0 2023:+3.7 2024:+2.3 2025:+2.3 2026:+0.7,4.2
Mon GBPJPY + Roll CADJPY + Roll GBPJPY,0.12 / 0.42 / 0.45,0.86,True,2.4,12.6,-0.6,-0.3,-0.34,47/59,2.51,2022:+1.3 2023:+4.1 2024:+2.7 2025:+2.6 2026:+1.0,4.0
Mon GBPJPY + Roll CADJPY + Roll USDJPY,0.14 / 0.47 / 0.39,0.85,True,2.5,12.8,-0.7,-0.4,-0.45,43/59,2.29,2022:+1.0 2023:+4.4 2024:+2.6 2025:+3.1 2026:+0.9,3.57
Mon GBPJPY + Roll CADJPY + TSMOM XAUUSD,0.22 / 0.74 / 0.04,0.03,True,3.0,15.5,-1.2,-0.4,-0.5,45/58,2.19,2022:+1.4 2023:+3.8 2024:+3.5 2025:+4.2 2026:+1.5,2.5
Mon GBPJPY + Roll CADJPY + v4 AUDUSD,0.19 / 0.65 / 0.16,0.01,True,2.6,13.6,-1.1,-0.5,-0.31,45/58,2.25,2022:+1.5 2023:+5.3 2024:+1.7 2025:+2.6 2026:+1.2,2.36
Mon GBPJPY + Roll EURJPY + Roll GBPJPY,0.12 / 0.46 / 0.42,0.88,True,2.4,12.3,-0.5,-0.3,-0.26,46/59,2.61,2022:+1.4 2023:+3.8 2024:+2.7 2025:+2.6 2026:+1.0,4.8
Mon GBPJPY + Roll EURJPY + Roll USDJPY,0.13 / 0.51 / 0.36,0.81,True,2.4,12.5,-0.5,-0.2,-0.24,46/59,2.42,2022:+1.0 2023:+4.1 2024:+2.6 2025:+3.1 2026:+0.9,4.8
Mon GBPJPY + Roll EURJPY + TSMOM XAUUSD,0.19 / 0.77 / 0.04,0.01,True,2.8,14.7,-0.9,-0.4,-0.45,45/59,2.34,2022:+1.5 2023:+3.4 2024:+3.4 2025:+4.1 2026:+1.4,3.11
Mon GBPJPY + Roll EURJPY + v4 AUDUSD,0.17 / 0.68 / 0.15,0.01,True,2.5,13.1,-0.7,-0.3,-0.28,46/59,2.4,2022:+1.5 2023:+4.7 2024:+1.8 2025:+2.6 2026:+1.2,3.57
Mon GBPJPY + Roll GBPJPY + Roll USDJPY,0.13 / 0.49 / 0.38,0.85,True,2.8,14.6,-0.6,-0.3,-0.37,48/59,2.67,2022:+1.4 2023:+4.5 2024:+3.0 2025:+3.4 2026:+1.2,4.67
Mon GBPJPY + Roll GBPJPY + TSMOM XAUUSD,0.21 / 0.75 / 0.04,0.01,True,3.5,18.2,-0.9,-0.4,-0.48,48/59,2.68,2022:+2.0 2023:+4.0 2024:+4.0 2025:+4.7 2026:+2.0,3.89
Mon GBPJPY + Roll GBPJPY + v4 AUDUSD,0.18 / 0.66 / 0.16,0.02,True,3.1,16.0,-0.7,-0.4,-0.29,49/59,2.73,2022:+2.0 2023:+5.4 2024:+2.3 2025:+3.1 2026:+1.7,4.43
Mon GBPJPY + Roll USDJPY + TSMOM XAUUSD,0.25 / 0.70 / 0.05,0.04,True,3.8,19.8,-1.1,-0.5,-0.58,46/59,2.37,2022:+1.5 2023:+4.6 2024:+4.2 2025:+6.0 2026:+2.0,3.45
Mon GBPJPY + Roll USDJPY + v4 AUDUSD,0.21 / 0.60 / 0.19,0.01,True,3.3,17.0,-1.0,-0.4,-0.35,48/59,2.45,2022:+1.6 2023:+6.1 2024:+2.1 2025:+3.9 2026:+1.6,3.3
